system:index,B11,B12,B2,B3,B4,B8,LST,MNDWI,MNDWI2,NBR,NBR2,NDMI,NDWI,TPI,dryness,elevation,elevation_class,greeness,latitude,longitude,slope,wetness,.geo
454,0.3227,0.27470000000000006,0.07275000000000001,0.11095000000000001,0.1738,0.2665,47.57132480000001,-0.48829702,-0.4246078,-0.015151516,0.08034818,-0.09538357,-0.41210756,1.7454545454545456,0.6574517366825285,5,4,0.3425456821426797,-7.277162285123833,112.79129926417777,5.0314374,2.581174791713197E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79129926417777,-7.277162285123833]}"
455,0.26295,0.2197,0.06415000000000001,0.09495,0.1281,0.24520000000000003,47.615759060000016,-0.46940488,-0.39647228,0.054850504,0.089609444,-0.03493063,-0.44171688,1.512396694214876,0.7270674323770727,4,4,0.2729301728663149,-7.287942068533266,112.79399421003014,1.4673698,2.3947566123116883E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.287942068533266]}"
456,0.30235,0.26385000000000003,0.0832,0.1187,0.13965,0.27445,48.094281860000024,-0.43617147,-0.37942752,0.019691622,0.06799717,-0.04837032,-0.39615923,2.6,0.7732868540822923,5,4,0.22671314591770772,-7.288481057703739,112.79399421003014,1.4769202,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.288481057703739]}"
457,0.27535,0.257,0.1036,0.12165000000000001,0.1462,0.20415,51.34140086000002,-0.38715366,-0.35745412,-0.11460479,0.034469802,-0.14848801,-0.25322282,1.3863636363636362,0.9640731675396756,4,4,0.03592683246032452,-7.289559036044682,112.79776713422343,1.4673704,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79776713422343,-7.289559036044682]}"
458,0.2149,0.1874,0.09585,0.11560000000000001,0.1326,0.20045000000000002,49.55377640000006,-0.30045387,-0.23696369,0.033647027,0.068356946,-0.034789935,-0.26847017,0.657142857142857,0.8441950362899711,4,4,0.15580496084205692,-7.275006328441945,112.79129926417777,0.65847284,2.8679719907924406E-9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79129926417777,-7.275006328441945]}"
459,0.15695,0.15785,0.0614,0.07505,0.08585000000000001,0.1679,47.605504999999994,-0.35301724,-0.3555174,0.03085188,-0.002858958,0.033707865,-0.3821774,1.272727272727273,0.7437221141365317,4,4,0.25624084600520736,-7.27662329595336,112.79291623168919,1.0435922,3.7039858261084376E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79291623168919,-7.27662329595336]}"
460,0.2723,0.23515,0.062200000000000005,0.0961,0.11825,0.25170000000000003,49.68707918000001,-0.47828448,-0.41977358,0.033994045,0.07320918,-0.039312977,-0.44738355,1.5909090909090908,0.7551644409444517,4,4,0.24483555905554827,-7.289559036044682,112.79345522085966,1.043616,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.289559036044682]}"
461,0.27565,0.21040000000000003,0.051500000000000004,0.09330000000000001,0.1189,0.3219,45.28808744000003,-0.4942404,-0.3855779,0.20946835,0.13424546,0.07739938,-0.55057806,1.396694214876033,0.5392218810433985,5,4,0.449255324490595,-7.284169144339964,112.79399421003014,1.0385455,0.011522794466006328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.284169144339964]}"
462,0.28045000000000003,0.2461,0.08625000000000001,0.112,0.134,0.23445,50.353593079999996,-0.42922667,-0.3744764,-0.024243055,0.06523597,-0.08933774,-0.35344204,1.3636363636363638,0.9526122198858604,4,4,0.04738778011413961,-7.289559036044682,112.79722814505297,1.6810197,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79722814505297,-7.289559036044682]}"
463,0.2431,0.1821,0.06725,0.09305,0.09925,0.24430000000000002,47.97465116000001,-0.4463781,-0.32364166,0.14587241,0.1434619,0.0024620434,-0.44834742,1.1322314049586777,0.7224873473041559,5,4,0.2748466648024333,-7.283630155169493,112.79668915588249,2.7182276,0.002665987893410907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79668915588249,-7.283630155169493]}"
